FEDFUNDS,Owner-Occupied-Home-Proportion,30-Year-Mortgage-Rate,Consumer-Price-Index,Year,Month,Quarter,Region,Home Size,Average Sales Price,Number of Households (Thousands),Median Income - Current Dollars,Median Income - 2022 Dollars,Mean Income - Current Dollars,Mean Income - 2022 Dollars,Year-Quarter-Month
0.09,63.9,4.036,237.43,2014,October,Q4,South,Double,74700.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q4-October
0.09,63.9,4.036,237.43,2014,October,Q4,South,Single ,44400.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q4-October
0.09,63.9,4.036,237.43,2014,October,Q4,South,Total1,59000.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q4-October
0.09,63.9,4.036,237.43,2014,October,Q4,United States,Double,76900.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q4-October
0.09,63.9,4.036,237.43,2014,October,Q4,United States,Single ,46000.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q4-October
0.09,63.9,4.036,237.43,2014,October,Q4,United States,Total1,62400.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q4-October
0.09,63.9,4.036,237.43,2014,October,Q4,West,Double,84700.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q4-October
0.09,63.9,4.036,237.43,2014,October,Q4,West,Single ,47100.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q4-October
0.09,63.9,4.036,237.43,2014,October,Q4,West,Total1,77100.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q4-October
0.09,63.9,3.9975,236.983,2014,November,Q4,Midwest,Double,84700.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,Midwest,Single ,47600.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,Midwest,Total1,61600.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,Northeast,Double,98300.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,Northeast,Single ,58000.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,Northeast,Total1,80500.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,South,Double,78300.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,South,Single ,39900.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,South,Total1,59100.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,United States,Double,83500.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,United States,Single ,43700.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,United States,Total1,64200.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,West,Double,95100.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,West,Single ,57400.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q4-November
0.09,63.9,3.9975,236.983,2014,November,Q4,West,Total1,84800.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q4-November
0.12,63.9,3.864,236.252,2014,December,Q4,Midwest,Double,72900.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,Midwest,Single ,45600.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,Midwest,Total1,57000.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,Northeast,Double,77500.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,Northeast,Single ,55300.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,Northeast,Total1,68100.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,South,Double,75000.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,South,Single ,45500.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,South,Total1,62000.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,United States,Double,78100.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,United States,Single ,46200.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,United States,Total1,64800.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,West,Double,91800.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,West,Single ,52600.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q4-December
0.12,63.9,3.864,236.252,2014,December,Q4,West,Total1,86900.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q4-December
0.11,63.8,3.67,234.747,2015,January,Q1,Midwest,Double,78300.0,27460.0,57080.0,69100.0,76760.0,92920.0,2015-Q1-January
0.11,63.8,3.67,234.747,2015,January,Q1,Midwest,Single ,43700.0,27460.0,57080.0,69100.0,76760.0,92920.0,2015-Q1-January
0.11,63.8,3.67,234.747,2015,January,Q1,Midwest,Total1,57000.0,27460.0,57080.0,69100.0,76760.0,92920.0,2015-Q1-January
0.11,63.8,3.67,234.747,2015,January,Q1,Northeast,Double,77200.0,22350.0,62180.0,75270.0,87010.0,105300.0,2015-Q1-January
